,name1,name2,success_rate_est,success_rate_lo,success_rate_hi,task_time_est,task_time_lo,task_time_hi
5,Pointed-Highlight,Pointed-Translation+NL,0.04761904761904756,-0.16666666666666674,0.23809523809523814,-4.868216666666669,-48.94606666666666,18.204316666666664
0,Pointed-Individual,Alt-NL,0.19047619047619035,-0.04761904761904756,0.40476190476190466,-1.5064750000000018,-25.24901666666667,11.920774999999999
1,Pointed-Individual,Basic-Control,0.2142857142857142,-0.023809523809523836,0.4285714285714285,9.990633333333335,-13.424083333333332,28.859691666666663
2,Pointed-Individual,Basic-Translation,0.09523809523809523,-0.16666666666666669,0.3333333333333333,19.083191666666664,-4.659350000000003,34.748316666666675
3,Pointed-Individual,Pointed-Highlight,0.0714285714285714,-0.16666666666666663,0.2857142857142858,3.2469916666666663,-20.49555,49.63414999999999
4,Pointed-Individual,Pointed-StepByStep,0.09523809523809523,-0.16666666666666652,0.3333333333333333,-0.7962583333333342,-24.538800000000002,15.66531666666667
5,Pointed-Individual,Pointed-Translation+NL,0.11904761904761896,-0.1428571428571428,0.33333333333333337,-1.6212250000000026,-28.2723,21.151275
0,Pointed-StepByStep,Alt-NL,0.09523809523809512,-0.11904761904761896,0.3095238095238093,-0.7102166666666676,-13.641450000000003,10.365250000000003
1,Pointed-StepByStep,Basic-Control,0.11904761904761896,-0.09523809523809512,0.33333333333333315,10.78689166666667,-3.3211416666666693,27.770499999999995
2,Pointed-StepByStep,Basic-Translation,0.0,-0.23809523809523814,0.23809523809523803,19.87945,6.910299999999999,33.97333333333334
3,Pointed-StepByStep,Pointed-Highlight,-0.023809523809523836,-0.23809523809523814,0.19047619047619047,4.0432500000000005,-7.729000000000003,49.29281666666666
4,Pointed-StepByStep,Pointed-Individual,-0.09523809523809523,-0.33333333333333326,0.16666666666666652,0.7962583333333342,-15.66531666666667,24.775650000000006
5,Pointed-StepByStep,Pointed-Translation+NL,0.023809523809523725,-0.2142857142857142,0.23809523809523803,-0.8249666666666684,-17.244100000000003,20.60785
0,Pointed-Translation+NL,Alt-NL,0.0714285714285714,-0.11904761904761907,0.2857142857142856,0.1147500000000008,-21.436716666666666,11.067866666666665
1,Pointed-Translation+NL,Basic-Control,0.09523809523809523,-0.09523809523809523,0.3095238095238093,11.611858333333338,-12.658316666666664,30.124266666666664
2,Pointed-Translation+NL,Basic-Translation,-0.023809523809523725,-0.26190476190476175,0.2142857142857142,20.704416666666667,-2.376116666666661,36.32710000000001
3,Pointed-Translation+NL,Pointed-Highlight,-0.04761904761904756,-0.23809523809523814,0.16666666666666674,4.868216666666669,-18.204316666666664,48.94606666666666
4,Pointed-Translation+NL,Pointed-Individual,-0.11904761904761896,-0.33333333333333337,0.1428571428571428,1.6212250000000026,-21.151275,28.2723
5,Pointed-Translation+NL,Pointed-StepByStep,-0.023809523809523725,-0.23809523809523803,0.2142857142857142,0.8249666666666684,-20.60785,17.244100000000003
